9.841854966890757339e-01,1.966771031552134175e-01,2.032869560852164081e-01,6.464520543174628875e-01,3.108199373035304136e-01
6.832897688250367807e-01,8.379391866910081976e-01,7.718650738974848213e-01,6.457734329311926036e-01,1.523636939034366256e-01
8.409020760280799811e-01,4.114059091155634063e-01,9.818366524053571132e-01,1.445284539093112941e-01,3.365550920149206204e-01
3.755367463196800371e-01,9.703571529727131884e-01,6.110402246049827513e-01,5.243539669614453169e-01,2.623573579222321372e-01
4.118321662925173987e-01,9.898915563025481035e-01,6.725298604634641908e-01,4.311093034232872379e-01,4.537709498328240665e-01
5.496063397570108977e-01,2.142076615490264568e-01,1.893014457284548646e-01,2.396649934290096540e-01,9.397839656550389664e-01
7.742326287107661464e-01,6.577089434654024291e-01,1.199074391787451899e-01,3.490703439350192894e-01,1.109062271746826811e-01
8.282554656218716893e-01,3.461504076827082721e-01,5.615179257099747190e-01,4.249623594356731759e-01,1.929271939258961344e-01
8.210431643864475326e-01,1.754233068238497395e-01,3.401961403456319477e-01,8.813684524261569120e-01,3.604854208310346309e-01
8.101535472437189078e-01,7.502923925217398482e-01,8.839586197427306002e-01,8.932211426662788334e-01,3.338012362357517526e-01
9.382428935941454773e-01,7.414866016749781519e-01,9.171203988561379417e-01,6.080596033917960996e-01,4.467137061263166675e-01
6.825707689076322415e-01,2.277582953915117114e-01,9.598698928442082057e-01,2.331397750002630886e-01,2.782885921661020223e-01
2.359930525451347794e-01,4.942846723413236720e-01,5.913814372466088543e-01,6.032912679705640935e-01,5.398798213642878041e-01
3.420840714467438537e-01,4.062402668622782098e-01,5.430065063081936927e-01,6.111604273826533040e-01,2.414929093648040537e-01
7.322439004289594822e-01,3.635538279531573824e-01,4.128332740988519545e-01,9.047405389678437881e-01,9.239421743814666410e-01
8.548706311406782943e-01,3.724981139392913310e-01,8.012910645264825771e-01,8.007903488734432473e-01,3.510176901975695651e-01
8.708398462362383352e-01,9.119312579891910575e-01,1.382078701881152838e-01,4.767270493679151011e-01,1.416677642338572962e-01
6.536825573382614163e-01,5.331434813070519141e-01,9.749296534879797749e-01,8.191852566605272168e-01,6.018503882251287074e-01
5.482748614558261568e-01,1.346834580497593414e-01,1.152407380981638196e-01,1.478298968452876339e-01,6.628156412061627645e-01
6.763645901099302193e-01,8.950760896330592908e-01,9.995417690502663710e-01,2.002046551809391062e-01,7.393013730063153766e-01
7.257740621610879739e-01,1.199329783145171857e-01,1.363522786057891900e-01,3.598285245940061605e-01,7.416272980775734380e-01
9.500091168383019147e-01,4.136834147386057037e-01,6.962611436786468877e-01,9.767549688883310210e-01,4.125821106900781077e-01
